Date,Close,High,Low,Open,Volume
01-05-1988,262.1600037,263.7000122,248.8500061,261.3599854,3231370000
01-06-1988,273.5,276.8800049,262.1000061,262.1600037,4306710000
01-07-1988,272.019989,276.3599854,262.480011,273.5,3338470000
01-08-1988,261.519989,274.2000122,256.5299988,272.0299988,3327470000
01-09-1988,271.9100037,274.8699951,256.980011,261.519989,3059450000
01-10-1988,278.9700012,283.9500122,268.8399963,271.8900146,3415160000
01-11-1988,273.7000122,280.3699951,262.8500061,278.9700012,2822820000
01-12-1988,277.7200012,280.4500122,270.4700012,273.6799927,2844900000
01-01-1989,297.4700012,297.5100098,273.8099976,277.7200012,3532220000
01-02-1989,288.8599854,300.5700073,286.2600098,297.4700012,3216280000
01-03-1989,294.8699951,299.9899902,286.4599915,288.8599854,3504530000
01-04-1989,309.6400146,310.4500122,294.3500061,294.8699951,3237250000
01-05-1989,320.519989,323.0599976,304.0599976,309.6400146,3747320000
01-06-1989,317.980011,329.1900024,314.3800049,320.5100098,3966590000
01-07-1989,346.0799866,346.0799866,317.2600098,317.980011,3249030000
01-08-1989,351.4500122,352.730011,339,346.0799866,3949100000
01-09-1989,349.1499939,354.1300049,341.3699951,351.4500122,3035020000
01-10-1989,340.3599854,360.4400024,327.1199951,349.1499939,4012670000
01-11-1989,345.9899902,346.5,330.9100037,340.3599854,3032160000
01-12-1989,353.3999939,354.1000061,339.6300049,346.0100098,3213420000
01-01-1990,329.0799866,360.5899963,319.8299866,353.3999939,3793250000
01-02-1990,331.8900146,336.0899963,322.1000061,329.0799866,2961970000
01-03-1990,339.9400024,344.4899902,331.0799866,331.8900146,3283280000
01-04-1990,330.7999878,347.2999878,327.7600098,339.9400024,2801220000
01-05-1990,361.230011,362.2600098,330.7999878,330.7999878,3596680000
01-06-1990,358.019989,368.7799988,351.230011,361.2600098,3226280000
01-07-1990,356.1499939,369.7799988,350.0899963,358.019989,3373540000
01-08-1990,322.5599976,357.3500061,306.1799927,356.1499939,4020730000
01-09-1990,306.0499878,326.5299988,295.980011,322.5599976,2687280000
01-10-1990,304,319.6900024,294.5100098,306.1000061,3671900000
01-11-1990,322.2200012,323.019989,301.6099854,303.9899902,3149770000
01-12-1990,330.2200012,333.980011,321.9700012,322.230011,3116830000
01-01-1991,343.9299927,343.9299927,309.3500061,330.2000122,3660240000
01-02-1991,367.0700073,370.9599915,340.3699951,343.9100037,4303170000
01-03-1991,375.2200012,379.6600037,363.730011,367.0700073,3927920000
01-04-1991,375.3399963,391.2600098,370.269989,375.2200012,4017200000
01-05-1991,389.8299866,389.8500061,365.8299866,375.3500061,3739700000
01-06-1991,371.1600037,389.8099976,367.980011,389.8099976,3258730000
01-07-1991,387.8099976,387.8099976,370.9200134,371.1799927,3481570000
01-08-1991,395.4299927,396.8200073,374.0899963,387.8099976,3713820000
01-09-1991,387.8599854,397.6199951,382.769989,395.4299927,3260990000
01-10-1991,392.4500122,393.8099976,376.1099854,387.8599854,4082380000
01-11-1991,375.2200012,398.2200012,371.6300049,392.4599915,3737620000
01-12-1991,417.0899963,418.3200073,371.3599854,375.1099854,4155310000
01-01-1992,408.7799988,421.1799927,408.6400146,417.0299988,5286280000
01-02-1992,412.7000122,418.0799866,406.3399963,408.7900085,4267610000
01-03-1992,403.6900024,413.7799988,401.9400024,412.6799927,4066240000
01-04-1992,414.9500122,416.2799988,392.4100037,403.6700134,4315840000
01-05-1992,415.3500061,418.75,409.8500061,414.9500122,3643980000
01-06-1992,408.1400146,417.2999878,399.9200134,415.3500061,4259830000
01-07-1992,424.2099915,424.7999878,407.2000122,408.2000122,4265220000
01-08-1992,414.0299988,425.1400146,408.2999878,424.1900024,3653820000
01-09-1992,417.7999878,425.269989,412.7099915,414.0299988,4023850000
01-10-1992,418.6799927,421.1600037,396.7999878,417.7999878,4507010000
01-11-1992,431.3500061,431.9299927,415.5799866,418.6600037,4148770000
01-12-1992,435.7099915,442.6499939,428.6099854,431.3500061,4876150000
01-01-1993,438.7799988,442.6600037,426.8800049,435.7000122,5280850000
01-02-1993,443.3800049,450.0400085,428.25,438.7799988,5442450000
01-03-1993,451.6700134,456.7600098,441.0700073,443.3800049,5766950000
01-04-1993,440.1900024,452.6300049,432.2999878,451.6700134,5853170000
01-05-1993,450.1900024,454.5499878,436.8599854,440.1900024,5108640000
01-06-1993,450.5299988,455.6300049,442.5,450.230011,5544400000
01-07-1993,448.1300049,451.1499939,441.3999939,450.5400085,5308530000
01-08-1993,463.5599976,463.5599976,446.9400024,448.1300049,5506200000
01-09-1993,458.9299927,463.7999878,449.6400146,463.5499878,5552720000
01-10-1993,467.8299866,471.1000061,456.3999939,458.9299927,5940460000
01-11-1993,461.7900085,469.1099854,454.3599854,467.8299866,5876610000
01-12-1993,466.4500122,471.2900085,461.4500122,461.9299927,5791210000
01-01-1994,481.6099854,482.8500061,464.3599854,466.5100098,6627390000
01-02-1994,467.1400146,482.230011,464.2600098,481.6000061,5853100000
01-03-1994,445.769989,471.0899963,436.1600037,467.1900024,7225010000
01-04-1994,450.9100037,452.7900085,435.8599854,445.6600037,5735010000
01-05-1994,456.5,457.769989,440.7799988,450.9100037,5675970000
01-06-1994,444.269989,463.230011,439.8299866,456.5,5852670000
01-07-1994,458.2600098,459.3299866,443.5799866,444.269989,4980100000
01-08-1994,475.4899902,477.5899963,456.0799866,458.2799988,6398750000
01-09-1994,462.7099915,475.4899902,458.4700012,475.4899902,6152870000
01-10-1994,472.3500061,474.7399902,449.269989,462.6900024,6344700000
01-11-1994,453.6900024,472.2600098,444.1799927,472.2600098,6251240000
01-12-1994,459.269989,462.730011,442.8800049,453.5499878,6351530000
01-01-1995,470.4200134,471.3599854,457.2000122,459.2099915,6852060000
01-02-1995,487.3900146,489.1900024,469.2900085,470.4200134,6330100000
01-03-1995,500.7099915,508.1499939,479.7000122,487.3900146,7792400000
01-04-1995,514.710022,515.289978,500.2000122,500.7000122,6307030000
01-05-1995,533.4000244,533.4099731,513.0300293,514.7600098,7555690000
01-06-1995,544.75,551.0700073,526,533.4000244,7555650000
01-07-1995,562.0599976,565.4000244,542.5100098,544.75,7307960000
01-08-1995,561.8800049,565.6199951,553.039978,562.0599976,7146620000
01-09-1995,584.4099731,587.6099854,561.0100098,561.8800049,7052830000
01-10-1995,581.5,590.6599731,571.5499878,584.4099731,8043320000
01-11-1995,605.3699951,608.6900024,581.039978,581.5,7602150000
01-12-1995,615.9299927,622.8800049,605.0499878,605.3699951,7697540000
01-01-1996,636.0200195,636.1799927,597.289978,615.9299927,9188050000
01-02-1996,640.4299927,664.2299805,633.710022,636.0200195,8749960000
01-03-1996,645.5,656.9699707,627.6300049,640.4299927,8984200000
01-04-1996,654.1699829,656.6799927,624.1400146,645.5,8875580000
01-05-1996,669.1199951,681.0999756,630.0700073,654.1699829,8921140000
01-06-1996,670.6300049,680.3200073,658.75,669.1199951,7930840000
01-07-1996,639.9500122,675.8800049,605.8800049,670.6300049,8849860000
01-08-1996,651.9899902,670.6799927,639.4899902,639.9500122,7380320000
01-09-1996,687.3300171,690.8800049,643.9699707,651.9899902,8064070000
01-10-1996,705.2700195,714.0999756,684.4400024,687.3099976,9703670000
01-11-1996,757.0200195,762.1199951,701.2999878,705.2700195,8763850000
01-12-1996,740.7399902,761.75,716.6900024,757.0200195,9089170000
01-01-1997,786.1599731,794.6699829,729.5499878,740.7399902,11635830000
01-02-1997,790.8200073,817.6799927,773.4299927,786.1599731,9715930000
01-03-1997,757.1199951,814.9000244,756.1300049,790.8200073,10120760000
01-04-1997,801.3400269,804.1300049,733.539978,757.1199951,10454880000
01-05-1997,848.2800293,851.8699951,793.210022,801.3400269,10106650000
01-06-1997,885.1400146,902.0900269,838.8200073,848.2800293,10857950000
01-07-1997,954.3099976,957.7299805,884.539978,885.1400146,11958120000
01-08-1997,899.4699707,964.1699829,893.3400269,954.289978,10606100000
01-09-1997,947.2800293,960.5900269,899.4699707,899.4699707,11383000000
01-10-1997,914.6199951,983.1199951,855.2700195,947.2800293,14017260000
01-11-1997,955.4000244,964.5499878,900.6099854,914.6199951,10173620000
01-12-1997,970.4299927,986.25,924.9199829,955.4000244,11958880000
01-01-1998,980.2800293,992.6500244,912.8300171,970.4299927,12733830000
01-02-1998,1049.339966,1051.660034,980.2800293,980.2800293,11656550000
01-03-1998,1101.75,1113.069946,1030.869995,1049.339966,13719590000
01-04-1998,1111.75,1132.97998,1076.699951,1101.75,13656060000
01-05-1998,1090.819946,1130.52002,1074.390015,1111.75,11477140000
01-06-1998,1133.839966,1145.150024,1074.670044,1090.819946,13551970000
01-07-1998,1120.670044,1190.579956,1114.300049,1133.839966,14194800000
01-08-1998,957.2800293,1121.790039,957.2800293,1120.670044,15071550000
01-09-1998,1017.01001,1066.109985,939.9799805,957.2800293,16714080000
01-10-1998,1098.670044,1103.780029,923.3200073,1017.01001,18001650000
01-11-1998,1163.630005,1192.969971,1098.670044,1098.670044,13451280000
01-12-1998,1229.22998,1244.930054,1136.890015,1163.630005,15181450000
01-01-1999,1279.640015,1280.369995,1205.459961,1229.22998,16213500000
01-02-1999,1238.329956,1283.839966,1211.890015,1279.640015,14555860000
01-03-1999,1286.369995,1323.819946,1216.030029,1238.329956,18002500000
01-04-1999,1335.180054,1371.560059,1282.560059,1286.369995,18523200000
01-05-1999,1301.839966,1375.97998,1277.310059,1335.180054,15880260000
01-06-1999,1372.709961,1372.930054,1277.469971,1301.839966,16079170000
01-07-1999,1328.719971,1420.329956,1328.48999,1372.709961,15332930000
01-08-1999,1320.410034,1382.839966,1267.72998,1328.719971,15818550000
01-09-1999,1282.709961,1361.390015,1256.26001,1320.410034,16438700000
01-10-1999,1362.930054,1373.170044,1233.699951,1282.709961,18832000000
01-11-1999,1388.910034,1425.310059,1346.410034,1362.930054,18384820000
01-12-1999,1469.25,1473.099976,1387.380005,1388.910034,19640690000
01-01-2000,1394.459961,1478,1350.140015,1469.25,21494400000
01-02-2000,1366.420044,1444.550049,1325.069946,1394.459961,20912000000
01-03-2000,1498.579956,1552.869995,1346.619995,1366.420044,26156200000
01-04-2000,1452.430054,1527.189941,1339.400024,1498.579956,20106460000
01-05-2000,1420.599976,1481.51001,1361.089966,1452.430054,19898300000
01-06-2000,1454.599976,1488.930054,1420.599976,1420.599976,21738300000
01-07-2000,1430.829956,1517.319946,1413.890015,1454.599976,19089100000
01-08-2000,1517.680054,1525.209961,1425.430054,1430.829956,20363700000
01-09-2000,1436.51001,1530.089966,1419.439941,1517.680054,20838300000
01-10-2000,1429.400024,1454.819946,1305.790039,1436.52002,25951400000
01-11-2000,1314.949951,1438.459961,1294.900024,1429.400024,20532300000
01-12-2000,1320.280029,1389.050049,1254.069946,1314.949951,23610800000
01-01-2001,1366.01001,1383.369995,1274.619995,1320.280029,27829800000
01-02-2001,1239.939941,1376.380005,1215.439941,1366.01001,21644400000
01-03-2001,1160.329956,1267.420044,1081.189941,1239.939941,27806610000
01-04-2001,1249.459961,1269.300049,1091.98999,1160.329956,25409990000
01-05-2001,1255.819946,1315.930054,1232,1249.459961,24525900000
01-06-2001,1224.380005,1286.619995,1203.030029,1255.819946,24748030000
01-07-2001,1211.22998,1239.780029,1165.540039,1224.420044,23793710000
01-08-2001,1133.579956,1226.27002,1124.869995,1211.22998,23359200000
01-09-2001,1040.939941,1155.400024,944.75,1133.579956,25025290000
01-10-2001,1059.780029,1110.609985,1026.76001,1040.939941,29951280000
01-11-2001,1139.449951,1163.380005,1054.310059,1059.780029,26330000000
01-12-2001,1148.079956,1173.619995,1114.530029,1139.449951,25128570000
01-01-2002,1130.199951,1176.969971,1081.660034,1148.079956,29746200000
01-02-2002,1106.72998,1130.199951,1074.359985,1130.199951,26047600000
01-03-2002,1147.390015,1173.939941,1106.72998,1106.72998,26563200000
01-04-2002,1076.920044,1147.839966,1063.459961,1147.390015,28568900000
01-05-2002,1067.140015,1106.589966,1048.959961,1076.920044,26905500000
01-06-2002,989.8200073,1070.73999,952.9199829,1067.140015,29981510000
01-07-2002,911.6199951,994.460022,775.6799927,989.8200073,42228720000
01-08-2002,916.0700073,965,833.4400024,911.6199951,29298400000
01-09-2002,815.2800293,924.0200195,800.2000122,916.0700073,27723710000
01-10-2002,885.7600098,907.4400024,768.6300049,815.2800293,37856310000
01-11-2002,936.3099976,941.8200073,872.0499878,885.7600098,29200960000
01-12-2002,879.8200073,954.2800293,869.4500122,936.3099976,25993640000
01-01-2003,855.7000122,935.0499878,840.3400269,879.8200073,30749580000
01-02-2003,841.1500244,864.6400146,806.289978,855.7000122,25235300000
01-03-2003,848.1799927,895.9000244,788.9000244,841.1500244,30080030000
01-04-2003,916.9199829,924.2399902,847.8499756,848.1799927,29669610000
01-05-2003,963.5900269,965.3800049,902.8300171,916.9199829,30952100000
01-06-2003,974.5,1015.330017,963.5900269,963.5900269,31219400000
01-07-2003,990.3099976,1015.409973,962.0999756,974.5,31553200000
01-08-2003,1008.01001,1011.01001,960.8400269,990.3099976,24881470000
01-09-2003,995.9699707,1040.290039,990.3599854,1008.01001,29940110000
01-10-2003,1050.709961,1053.790039,995.9699707,995.9699707,32298500000
01-11-2003,1058.199951,1063.650024,1031.199951,1050.709961,24463220000
01-12-2003,1111.920044,1112.560059,1053.410034,1058.199951,27839130000
01-01-2004,1131.130005,1155.380005,1105.079956,1111.920044,32820000000
01-02-2004,1144.939941,1158.97998,1124.439941,1131.130005,27985600000
01-03-2004,1126.209961,1163.22998,1087.160034,1144.939941,33597900000
01-04-2004,1107.300049,1150.569946,1107.22998,1126.209961,31611900000
01-05-2004,1120.680054,1127.73999,1076.319946,1107.300049,29326400000
01-06-2004,1140.839966,1146.339966,1113.319946,1120.680054,27529500000
01-07-2004,1101.719971,1140.839966,1078.780029,1140.839966,29285600000
01-08-2004,1104.23999,1109.680054,1060.719971,1101.719971,26586800000
01-09-2004,1114.579956,1131.540039,1099.180054,1104.23999,26829870000
01-10-2004,1130.199951,1142.050049,1090.290039,1114.579956,31511000000
01-11-2004,1173.819946,1188.459961,1127.599976,1130.199951,30460280000
01-12-2004,1211.920044,1217.329956,1173.780029,1173.780029,31102500000
01-01-2005,1181.27002,1217.800049,1163.75,1211.920044,31498800000
01-02-2005,1203.599976,1212.439941,1180.949951,1181.27002,29297410000
01-03-2005,1180.589966,1229.109985,1163.689941,1203.599976,39014150000
01-04-2005,1156.849976,1191.880005,1136.150024,1180.589966,43424270000
01-05-2005,1191.5,1199.560059,1146.180054,1156.849976,39321990000
01-06-2005,1191.329956,1219.589966,1188.300049,1191.5,40334040000
01-07-2005,1234.180054,1245.150024,1183.550049,1191.329956,37464670000
01-08-2005,1220.329956,1245.859985,1201.069946,1234.180054,42030090000
01-09-2005,1228.810059,1243.130005,1205.349976,1220.329956,44777510000
01-10-2005,1207.01001,1233.339966,1168.199951,1228.810059,49793790000
01-11-2005,1249.47998,1270.640015,1201.069946,1207.01001,45102870000
01-12-2005,1248.290039,1275.800049,1246.589966,1249.47998,41756130000
01-01-2006,1280.079956,1294.900024,1245.73999,1248.290039,49211650000
01-02-2006,1280.660034,1297.569946,1253.609985,1280.079956,42859940000
01-03-2006,1294.869995,1310.880005,1268.420044,1280.660034,50905040000
01-04-2006,1310.609985,1318.160034,1280.73999,1302.880005,43308430000
01-05-2006,1270.089966,1326.699951,1245.339966,1310.609985,54312830000
01-06-2006,1270.199951,1290.680054,1219.290039,1270.050049,54873260000
01-07-2006,1276.660034,1280.420044,1224.540039,1270.060059,46348220000
01-08-2006,1303.819946,1306.73999,1261.300049,1278.530029,50485620000
01-09-2006,1335.849976,1340.280029,1290.930054,1303.800049,49001440000
01-10-2006,1377.939941,1389.449951,1327.099976,1335.819946,56793620000
01-11-2006,1400.630005,1407.890015,1360.97998,1377.76001,55343930000
01-12-2006,1418.300049,1431.810059,1385.930054,1400.630005,47578780000
01-01-2007,1438.23999,1441.609985,1403.969971,1418.030029,56686200000
01-02-2007,1406.819946,1461.569946,1389.420044,1437.900024,51844990000
01-03-2007,1420.859985,1438.890015,1363.97998,1406.800049,67622250000
01-04-2007,1482.369995,1498.02002,1416.369995,1420.829956,57032470000
01-05-2007,1530.619995,1535.560059,1476.699951,1482.369995,64958050000
01-06-2007,1503.349976,1540.560059,1484.180054,1530.619995,65322800000
01-07-2007,1455.27002,1555.900024,1454.25,1504.660034,70337430000
01-08-2007,1473.98999,1503.890015,1370.599976,1455.180054,91381760000
01-09-2007,1526.75,1538.73999,1439.290039,1473.959961,57809700000
01-10-2007,1549.380005,1576.089966,1489.560059,1527.290039,76022580000
01-11-2007,1481.140015,1545.790039,1406.099976,1545.790039,86246950000
01-12-2007,1468.359985,1523.569946,1435.650024,1479.630005,64821670000
01-01-2008,1378.550049,1471.77002,1270.050049,1467.969971,98475340000
01-02-2008,1330.630005,1396.02002,1316.75,1378.599976,78536130000
01-03-2008,1322.699951,1359.680054,1256.97998,1330.449951,93189170000
01-04-2008,1385.589966,1404.569946,1324.349976,1326.410034,85978630000
01-05-2008,1400.380005,1440.23999,1373.069946,1385.969971,80990480000
01-06-2008,1280,1404.050049,1272,1399.619995,96614040000
01-07-2008,1267.380005,1292.170044,1200.439941,1276.689941,1.24981E+11
01-08-2008,1282.829956,1313.150024,1247.449951,1269.420044,86266010000
01-09-2008,1166.359985,1303.040039,1106.420044,1287.829956,1.40007E+11
01-10-2008,968.75,1167.030029,839.7999878,1164.170044,1.59823E+11
01-11-2008,896.2399902,1007.51001,741.0200195,968.6699829,1.1566E+11
01-12-2008,903.25,918.8499756,815.6900024,888.6099854,1.12884E+11
01-01-2009,825.8800049,943.8499756,804.2999878,902.9899902,1.12091E+11
01-02-2009,735.0900269,875.0100098,734.5200195,823.0900269,1.24492E+11
01-03-2009,797.8699951,832.9799805,666.789978,729.5700073,1.61844E+11
01-04-2009,872.8099976,888.7000122,783.3200073,793.5900269,1.38855E+11
01-05-2009,919.1400146,930.1699829,866.0999756,872.7399902,1.31615E+11
01-06-2009,919.3200073,956.2299805,888.8599854,923.2600098,1.12653E+11
01-07-2009,987.4799805,996.6799927,869.3200073,920.8200073,1.06636E+11
01-08-2009,1020.619995,1039.469971,978.5100098,990.2199707,1.16059E+11
01-09-2009,1057.079956,1080.150024,991.9699707,1019.52002,1.12295E+11
01-10-2009,1036.189941,1101.359985,1019.950012,1054.910034,1.13411E+11
01-11-2009,1095.630005,1113.689941,1029.380005,1036.180054,84981530000
01-12-2009,1115.099976,1130.380005,1085.890015,1098.890015,89515330000
01-01-2010,1073.869995,1150.449951,1071.589966,1116.560059,90947580000
01-02-2010,1104.48999,1112.420044,1044.5,1073.890015,84561340000
01-03-2010,1169.430054,1180.689941,1105.359985,1105.359985,1.03684E+11
01-04-2010,1186.689941,1219.800049,1170.689941,1171.22998,1.16742E+11
01-05-2010,1089.410034,1205.130005,1040.780029,1188.579956,1.27663E+11
01-06-2010,1030.709961,1131.22998,1028.329956,1087.300049,1.10107E+11
01-07-2010,1101.599976,1120.949951,1010.909973,1031.099976,94778110000
01-08-2010,1049.329956,1129.23999,1039.699951,1107.530029,85738250000
01-09-2010,1141.199951,1157.160034,1049.719971,1049.719971,79589450000
01-10-2010,1183.26001,1196.140015,1131.869995,1143.48999,89536270000
01-11-2010,1180.550049,1227.079956,1173,1185.709961,87151070000
01-12-2010,1257.640015,1262.599976,1186.599976,1186.599976,80984530000
01-01-2011,1286.119995,1302.670044,1257.619995,1257.619995,92164940000
01-02-2011,1327.219971,1344.069946,1289.140015,1289.140015,59223660000
01-03-2011,1325.829956,1332.280029,1249.050049,1328.640015,89507640000
01-04-2011,1363.609985,1364.560059,1294.699951,1329.47998,77364810000
01-05-2011,1345.199951,1370.579956,1311.800049,1365.209961,81708980000
01-06-2011,1320.640015,1345.199951,1258.069946,1345.199951,86122730000
01-07-2011,1292.280029,1356.47998,1282.859985,1320.640015,81102170000
01-08-2011,1218.890015,1307.380005,1101.540039,1292.589966,1.08419E+11
01-09-2011,1131.420044,1229.290039,1114.219971,1219.119995,1.02787E+11
01-10-2011,1253.300049,1292.660034,1074.77002,1131.209961,98063670000
01-11-2011,1246.959961,1277.550049,1158.660034,1251,84275050000
01-12-2011,1257.599976,1269.369995,1202.369995,1246.910034,74742430000
01-01-2012,1312.410034,1333.469971,1258.859985,1258.859985,79567560000
01-02-2012,1365.680054,1378.040039,1312.449951,1312.449951,78385710000
01-03-2012,1408.469971,1419.150024,1340.030029,1365.900024,83899660000
01-04-2012,1397.910034,1422.380005,1357.380005,1408.469971,74761710000
01-05-2012,1310.329956,1415.319946,1291.97998,1397.859985,86920490000
01-06-2012,1362.160034,1363.459961,1266.73999,1309.869995,81582440000
01-07-2012,1379.319946,1391.73999,1325.410034,1362.329956,73103810000
01-08-2012,1406.579956,1426.680054,1354.650024,1379.319946,70283810000
01-09-2012,1440.670044,1474.51001,1396.560059,1406.540039,69784280000
01-10-2012,1412.160034,1470.959961,1403.280029,1440.900024,71752320000
01-11-2012,1416.180054,1434.27002,1343.349976,1412.199951,71489310000
01-12-2012,1426.189941,1448,1398.109985,1416.339966,66388180000
01-01-2013,1498.109985,1509.939941,1426.189941,1426.189941,75848510000
01-02-2013,1514.680054,1530.939941,1485.01001,1498.109985,69273480000
01-03-2013,1569.189941,1570.280029,1501.47998,1514.680054,68527110000
01-04-2013,1597.569946,1597.569946,1536.030029,1569.180054,77098000000
01-05-2013,1630.73999,1687.180054,1581.280029,1597.550049,76447250000
01-06-2013,1606.280029,1654.189941,1560.329956,1631.709961,74946790000
01-07-2013,1685.72998,1698.780029,1604.569946,1609.780029,68106820000
01-08-2013,1632.969971,1709.670044,1627.469971,1689.420044,64802810000
01-09-2013,1681.550049,1729.859985,1633.410034,1635.949951,66174410000
01-10-2013,1756.540039,1775.219971,1646.469971,1682.410034,76647400000
01-11-2013,1805.810059,1813.550049,1746.199951,1758.699951,63628190000
01-12-2013,1848.359985,1849.439941,1767.98999,1806.550049,64958820000
01-01-2014,1782.589966,1850.839966,1770.449951,1845.859985,75871910000
01-02-2014,1859.449951,1867.920044,1737.920044,1782.680054,69725590000
01-03-2014,1872.339966,1883.969971,1834.439941,1857.680054,71885030000
01-04-2014,1883.949951,1897.280029,1814.359985,1873.959961,71595810000
01-05-2014,1923.569946,1924.030029,1859.790039,1884.390015,63623630000
01-06-2014,1960.22998,1968.170044,1915.97998,1923.869995,63283380000
01-07-2014,1930.670044,1991.390015,1930.670044,1962.290039,66524690000
01-08-2014,2003.369995,2005.040039,1904.780029,1929.800049,58131140000
01-09-2014,1972.290039,2019.26001,1964.040039,2004.069946,66706000000
01-10-2014,2018.050049,2018.189941,1820.660034,1971.439941,93714040000
01-11-2014,2067.560059,2075.76001,2001.01001,2018.209961,63600190000
01-12-2014,2058.899902,2093.550049,1972.560059,2065.780029,80743820000
01-01-2015,1994.98999,2072.360107,1988.119995,2058.899902,77330040000
01-02-2015,2104.5,2119.590088,1980.900024,1996.670044,68775560000
01-03-2015,2067.889893,2117.52002,2039.689941,2105.22998,76675850000
01-04-2015,2085.51001,2125.919922,2048.379883,2067.629883,72060940000
01-05-2015,2107.389893,2134.719971,2067.929932,2087.379883,65187730000
01-06-2015,2063.110107,2129.870117,2056.320068,2108.639893,73213980000
01-07-2015,2103.840088,2132.820068,2044.02002,2067,77920590000
01-08-2015,1972.180054,2112.659912,1867.01001,2104.48999,84626790000
01-09-2015,1920.030029,2020.859985,1871.910034,1970.089966,79989370000
01-10-2015,2079.360107,2094.320068,1893.699951,1919.650024,85844900000
01-11-2015,2080.409912,2116.47998,2019.390015,2080.76001,75943590000
01-12-2015,2043.939941,2104.27002,1993.26001,2082.929932,83649260000
01-01-2016,1940.23999,2038.199951,1812.290039,2038.199951,92409770000
01-02-2016,1932.22998,1962.959961,1810.099976,1936.939941,93049560000
01-03-2016,2059.73999,2072.209961,1937.089966,1937.089966,92639420000
01-04-2016,2065.300049,2111.050049,2033.800049,2056.620117,81124990000
01-05-2016,2096.949951,2103.47998,2025.910034,2067.169922,78883600000
01-06-2016,2098.860107,2120.550049,1991.680054,2093.939941,86852700000
01-07-2016,2173.600098,2177.090088,2074.02002,2099.340088,69530250000
01-08-2016,2170.949951,2193.810059,2147.580078,2173.149902,75610310000
01-09-2016,2168.27002,2187.870117,2119.120117,2171.330078,77023620000
01-10-2016,2126.149902,2169.600098,2114.719971,2164.330078,72915530000
01-11-2016,2198.810059,2214.100098,2083.790039,2128.679932,88445380000
01-12-2016,2238.830078,2277.530029,2187.439941,2200.169922,75344550000
01-01-2017,2278.870117,2300.98999,2245.129883,2251.570068,70576420000
01-02-2017,2363.639893,2371.540039,2271.649902,2285.590088,69260940000
01-03-2017,2362.719971,2400.97998,2322.25,2380.129883,81664010000
01-04-2017,2384.199951,2398.159912,2328.949951,2362.340088,65369860000
01-05-2017,2411.800049,2418.709961,2352.719971,2388.5,79719460000
01-06-2017,2423.409912,2453.820068,2405.699951,2415.649902,81078810000
